Taxa	SubjectID	Analysis4	Name	SNV	IgA+IgM-	IgM+IgA-	IgM+IgA+	IgA-IgM-IgG-
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F13-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F15-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.021480581458786	0.00116979515870231	0.960995129806107	0.0163544935764049
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F2-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.000654087706811028	0.143700196209765	0.0723103924584471	0.783335323624976
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F4-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.249429336390187	0.142032620057624	0.388817557400124	0.219720486152065
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F5-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.106079053751829	0.00389346034151342	0.886134025565144	0.00389346034151342
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F6-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0635315973505475	0.0219836195579166	0.275709246190754	0.638775536900782
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F7-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.330607097884383	0.0293040080824073	0.610784885950803	0.0293040080824073
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F8-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0726206859072712	0.0564861500989084	0.637758871571957	0.233134292421863
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F9-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.505485291034868	0.164838236321711	0.164838236321711	0.164838236321711
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F9-3	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.828682481188296	0.00325032807544438	0.164816862660815	0.00325032807544438
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F1-1	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F10-1	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.354329127476592	0.434245283023988	0.10571279474971	0.10571279474971
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F10-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.0604832147503982	0.0604832147503982	0.400415445618158	0.478618124881046
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F11-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F12-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F12-3	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.851836001027133	0.0493879996576222	0.0493879996576222	0.0493879996576222
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F13-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F15-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.0327790057070734	0.00920317092243923	0.948814652448048	0.00920317092243923
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F2-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F4-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F5-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.186742311787273	0.0215764316441002	0.770104824924527	0.0215764316441002
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F6-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.0206173327494618	0.234906773222039	0.261957653937304	0.482518240091195
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F7-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.25	0.25	0.25	0.25
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F8-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.00864864760256903	0.118738357411238	0.0327999023425307	0.839813092643662
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F9-2	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.0335086512296771	0.0335086512296771	0.215995982066808	0.716986715473838
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	F9-3	Pos_Stool	Actinobacteria Collinsella	35cbb315e019e0a8768d4b73862df415	0.144193857218591	0.506712924248361	0.0807337794040681	0.26835943912898
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F1-1	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.182053843057239	0.00606434363272685	0.182234576851924	0.62964723645811
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F10-1	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.880792887544708	0.0397357041517641	0.0397357041517641	0.0397357041517641
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F10-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.428224590658771	0.00273735246268193	0.0427374957452811	0.526300561133266
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F11-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.17080399236816	0.00836500616365706	0.0924443147969344	0.728386686671249
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F12-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.012993352215493	0.00208690004755278	0.00968194025389024	0.975237807483064
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F12-3	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.786783089695459	0.00615958648007218	0.141623448843301	0.0654338749811677
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F13-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.946637956144245	0.000486932652860506	0.00383721780410095	0.0490378933987937
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F15-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.626910378486808	0.0274908558705689	0.257911083200281	0.0876876824423419
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F2-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.956326732527005	0.000618980513749807	0.0424353064454953	0.000618980513749807
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F4-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.387264801558622	0.036637964424543	0.0487808306839785	0.527316403332857
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F5-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.291853462819769	0.00110321555325193	0.0292021554380719	0.677841166188907
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F6-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.17315906160732	0.0014732477873402	0.379480844005918	0.445886846599421
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F7-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.0932843847332273	0.0218969606064478	0.13066198020141	0.754156674458915
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F8-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.010367880187389	0.0297582141850817	0.0220952148981565	0.937778690729373
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F9-2	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.0825504412256041	0.00588715185423574	0.0149200494444683	0.896642357475692
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	F9-3	Pos_Stool	Bacteroidetes Alistipes	332a6411ff00b4010ac2397f504c4695	0.471066377048828	0.0391203834831884	0.0391203834831884	0.450692855984795
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F1-1	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.0399473468015983	0.0399473468015983	0.0399473468015983	0.880157959595205
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F10-1	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.400913865987285	0.058276402728295	0.482533328556125	0.058276402728295
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F10-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.642990343324451	0.00617071424635872	0.117150246982833	0.233688695446358
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F11-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.0886818446468904	0.0895281725092581	0.278805456660098	0.542984526183754
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F12-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.0234354452859295	0.0234354452859295	0.218385598439133	0.734743510989008
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F12-3	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F13-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.398824746623735	0.00482243842897404	0.0277933760537559	0.568559438893535
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F15-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.660586696185972	0.113137767938009	0.113137767938009	0.113137767938009
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F2-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.126987714693861	0.154369484127275	0.306811703883035	0.41183109729583
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F4-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.0341188210009211	0.0341188210009211	0.0341188210009211	0.897643536997237
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F5-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.268496007635413	0.0270368548004338	0.0270368548004338	0.677430282763719
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F6-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.289040782280286	0.0061193072906715	0.566868892407186	0.137971018021856
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F7-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.105682199014218	0.0186269264799217	0.0186269264799217	0.857063948025938
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F8-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.00782094359821523	0.022805674784511	0.0232856267669673	0.946087754850306
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F9-2	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.117119143020689	0.117119143020689	0.648642570937934	0.117119143020689
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	F9-3	Pos_Stool	Bacteroidetes Alistipes	742e1f191223f58590661de80b9d6e3b	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F1-1	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.0455731307380134	0.0455731307380134	0.86328060778596	0.0455731307380134
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F10-1	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.0729566243729714	0.0729566243729714	0.781130126881086	0.0729566243729714
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F10-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.435281924967265	0.00352993838184983	0.12653310496787	0.434655031683015
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F11-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F12-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.126592775905644	0.126592775905644	0.620221672283067	0.126592775905644
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F12-3	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F13-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.924093983006763	0.0253020056644125	0.0253020056644125	0.0253020056644125
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F15-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.733526902109505	0.0888243659634985	0.0888243659634985	0.0888243659634985
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F2-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F4-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.022349243919305	0.00314029280769217	0.0494169389606366	0.925093524312366
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F5-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.198660677834005	0.0043689105057688	0.0043689105057688	0.792601501154458
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F6-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F7-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.411171366789063	0.00949668429801127	0.222519403831292	0.356812545081634
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F8-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.00661300116169324	0.0448755981442731	0.0398531225521975	0.908658278141836
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F9-2	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	F9-3	Pos_Stool	Bacteroidetes Alistipes	8795c5a86013864dc11f24b89e8cdd8c	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F1-1	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F10-1	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.109950426987443	0.0520284757424199	0.205745185795906	0.632275911474232
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F10-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F11-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F12-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.084755173264709	0.084755173264709	0.745734480205873	0.084755173264709
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F12-3	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.008469474331743	0.104228358753391	0.349066054350602	0.538236112564264
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F13-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.00933306378636478	0.00933306378636478	0.00933306378636478	0.972000808640906
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F15-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F2-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F4-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.0013367401917762	0.0264789449284974	0.0494892479040735	0.922695066975653
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F5-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F6-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.279898725274295	0.00213758744051044	0.151006556139838	0.566957131145357
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F7-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F8-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.0179188712959089	0.00548369859433803	0.0361100364346467	0.940487393675106
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F9-2	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	F9-3	Pos_Stool	Bacteroidetes Bacteroides	1b8dec58597978264025b9eba656ffb5	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F1-1	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F10-1	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.39702469765424	0.0696092650892911	0.463756772167178	0.0696092650892911
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F10-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.509801252905416	0.00820199798615854	0.28478684730481	0.197209901803615
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F11-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F12-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.101709133213219	0.120351001696914	0.369274191545261	0.408665673544606
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F12-3	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F13-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.765984033810237	0.00104280660591451	0.0777591855228066	0.155213974061042
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F15-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.158654133546774	0.0393274149873951	0.739318831250818	0.0626996202150136
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F2-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.026449566909627	0.159159217623433	0.117078839391897	0.697312376075043
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F4-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.227970761444002	0.00552750725294388	0.00552750725294388	0.76097422405011
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F5-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.25	0.25	0.25	0.25
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	F6-2	Pos_Stool	Bacteroidetes Bacteroides	2c982937754e6321f861027032db80f7	0.25	0.25	0.25	0.25
